timestamp,frame,track_id,class_id,class_name,distance_m,velocity_m_s,angle_deg
1763166411.2163334,105,1,15,cat,0.7490,,12.7091
1763166411.2163334,105,2,0,person,0.4029,,-0.0517
1763166411.2961187,106,1,15,cat,0.7490,,12.7091
1763166411.2961187,106,2,0,person,0.3940,-0.1117,-0.3618
1763166411.4869194,107,1,15,cat,0.7490,,12.7091
1763166411.4869194,107,2,0,person,0.3940,,-0.3618
1763166411.6436996,108,1,15,cat,0.7490,,12.7091
1763166411.6448004,108,2,0,person,0.3928,-0.0079,-0.2584
1763166411.7649343,109,1,15,cat,0.7490,,12.7091
1763166411.7659478,109,2,0,person,0.3928,,-0.2584
1763166411.8599765,110,1,15,cat,0.7490,,12.7091
1763166411.860975,110,2,0,person,0.3972,0.0461,-0.6202
1763166411.993277,111,1,15,cat,0.7490,,12.7091
1763166411.993277,111,2,0,person,0.4016,0.0338,-0.8786
1763166412.1071093,112,1,15,cat,0.5170,-2.0378,-5.0522
1763166412.1071093,112,2,0,person,0.4029,0.0114,-0.8786
1763166412.1892107,113,1,15,cat,0.5170,,-5.0522
1763166412.1892107,113,2,0,person,0.3984,-0.0549,-0.6202
1763166412.2933767,114,1,15,cat,0.5170,,-5.0522
1763166412.29439,114,2,0,person,0.4157,0.1641,-2.0666
1763166412.381484,115,1,15,cat,0.5170,,-5.0522
1763166412.381484,115,2,0,person,0.3972,-0.2128,-0.5169
1763166412.4885511,116,1,15,cat,0.5738,0.5299,-7.6555
1763166412.4895494,116,2,0,person,0.4527,0.5136,-4.3848
1763166412.6154513,117,1,15,cat,0.5199,-0.4241,-4.7957
1763166412.6154513,117,2,0,person,0.4391,-0.1076,-3.2013
1763166412.7134218,118,1,15,cat,0.5350,0.1537,-6.2805
1763166412.714441,118,2,0,person,0.4391,,-3.2013
1763166412.7934816,119,1,0,person,0.4796,-0.6914,-6.1784
1763166412.7934816,119,2,0,person,0.4391,,-3.2013
1763166412.879446,120,1,15,cat,0.5520,0.8422,-7.0963
1763166412.879446,120,2,0,person,0.5008,0.7180,-7.2998
1763166412.981925,121,1,0,person,0.4998,-0.5095,-6.6378
1763166412.981925,121,2,0,person,0.5008,,-7.2998
1763166413.1029003,122,1,0,person,0.4998,,-6.6378
1763166413.1039135,122,2,0,person,0.5008,,-7.2998
1763166413.1896682,123,1,15,cat,0.8103,3.5783,5.9740
1763166413.1906672,123,2,15,cat,0.4521,-0.5619,-0.7753
1763166413.2774627,124,1,15,cat,0.8103,,5.9740
1763166413.2774627,124,2,15,cat,0.4521,,-0.7753
1763166413.3979993,125,1,15,cat,0.5621,-2.0590,-7.5539
1763166413.3990636,125,2,0,person,0.4075,-0.3663,-1.2403
1763166413.4949355,126,1,15,cat,0.5621,,-7.5539
1763166413.4959426,126,2,0,person,0.4075,,-1.2403
1763166413.6430447,127,1,0,person,0.4697,-0.6240,-4.1792
1763166413.6430447,127,2,0,person,0.4075,,-1.2403
1763166413.7476563,128,1,0,person,0.4697,,-4.1792
1763166413.7486818,128,2,0,person,0.4075,,-1.2403
1763166413.8951476,129,1,0,person,0.4697,,-4.1792
1763166413.8951476,129,2,0,person,0.4075,,-1.2403
1763166414.0090954,130,1,15,cat,0.6860,1.8978,-11.8208
1763166414.0101233,130,2,0,person,0.4075,,-1.2403
1763166414.097575,131,1,15,cat,0.6894,0.0386,-11.8208
1763166414.097575,131,2,0,person,0.4075,,-1.2403
1763166414.1864338,132,1,15,cat,0.6894,,-11.8208
1763166414.1874485,132,2,0,person,0.4075,,-1.2403
1763166414.2825413,133,1,15,cat,0.6894,,-11.8208
1763166414.283562,133,2,0,person,0.4075,,-1.2403
1763166414.3800662,134,1,15,cat,0.6894,,-11.8208
1763166414.3810785,134,2,0,person,0.4075,,-1.2403
1763166414.47253,135,1,15,cat,0.8175,1.3856,-15.0952
1763166414.47253,135,2,0,person,0.4075,,-1.2403
1763166414.5618677,136,1,15,cat,0.8248,0.0817,-15.1434
1763166414.5618677,136,2,0,person,0.4075,,-1.2403
1763166414.6632965,137,1,15,cat,0.7634,-0.6048,-13.7377
1763166414.6632965,137,2,0,person,0.4075,,-1.2403
1763166414.7545629,138,1,0,person,0.6330,-1.4288,-12.4137
1763166414.7545629,138,2,0,person,0.4075,,-1.2403
1763166414.8471158,139,1,0,person,0.6330,,-12.4137
1763166414.8476374,139,2,0,person,0.4075,,-1.2403
1763166414.9358113,140,1,0,person,0.6330,,-12.4137
1763166414.9368234,140,2,0,person,0.4075,,-1.2403
1763166415.0356214,141,1,0,person,0.6330,,-12.4137
1763166415.0356214,141,2,0,person,0.4075,,-1.2403
1763166415.1236787,142,1,0,person,0.6330,,-12.4137
1763166415.1236787,142,2,0,person,0.4075,,-1.2403
1763166415.2209008,143,1,0,person,0.6330,,-12.4137
1763166415.2219136,143,2,0,person,0.4075,,-1.2403
1763166415.3176007,144,1,0,person,0.6330,,-12.4137
1763166415.3187659,144,2,0,person,0.4075,,-1.2403
1763166415.399515,145,1,0,person,0.6330,,-12.4137
1763166415.399515,145,2,0,person,0.4075,,-1.2403
1763166415.5106592,146,1,0,person,0.6330,,-12.4137
1763166415.5106592,146,2,0,person,0.4075,,-1.2403
1763166415.6217303,147,1,0,person,1.5988,8.6952,-23.5871
1763166415.6217303,147,2,0,person,0.4075,,-1.2403
1763166415.7410657,148,1,0,person,1.5988,,-23.5871
1763166415.7410657,148,2,0,person,0.4075,,-1.2403
1763166415.858887,149,1,0,person,1.5988,,-23.5871
1763166415.858887,149,2,0,person,0.4075,,-1.2403
1763166415.962263,150,1,0,person,1.5988,,-23.5871
1763166415.9632561,150,2,0,person,0.4075,,-1.2403
1763166416.0803647,151,1,0,person,1.5988,,-23.5871
1763166416.0803647,151,2,0,person,0.4075,,-1.2403
1763166416.1774516,152,1,0,person,1.5988,,-23.5871
1763166416.1774516,152,2,0,person,0.4075,,-1.2403
